Index,V1,V2,V3,V4
699,293758,240197,88321,139774
700,293584,240210,88699,139781
701,293311,240231,88755,139674
702,293056,239918,88460,139789
703,292848,240162,88592,139780
704,292422,240241,88924,139607
705,292286,239901,88567,139566
706,291879,245632,88458,139421
707,291562,239936,88465,139546
708,291706,239865,88675,139544
709,291899,239909,88696,139757
710,291888,239785,88711,139930
711,292105,239909,88521,139881
712,292372,240302,88802,139789
713,292222,240019,88732,139706
714,292094,239979,88649,139508
715,291226,239997,88553,139599
716,290967,240175,88677,140047
717,290633,240060,88730,1044514
718,290574,240079,88732,139692
719,290716,240184,88471,139566
720,290646,240224,88560,139613
721,290642,240408,88631,139761
722,290983,240240,88807,139938
723,291095,240224,88773,139909
724,290983,240185,88465,139638
725,291093,240139,88499,139654
726,290978,240143,88521,139685
727,290721,240187,88440,139710
728,290419,240228,88488,139676
729,290371,261127,88468,139672
730,290206,240152,88345,139607
731,290132,239977,88326,139656
732,290127,240067,88489,139716
733,290022,240316,88672,139750
734,290185,240171,88452,139717
735,290516,240150,88483,139772
736,290815,240242,88608,139656
737,-129938,240105,88625,139753
738,290707,239836,88679,139997
739,290497,239761,88772,139873
740,290166,240011,88708,139676
741,289828,239962,88671,196354
742,289624,239896,88467,139673
743,289495,239815,88359,139558
744,289440,239910,88505,139521
745,289673,240042,88616,139484
746,290051,240262,88558,139584
747,290306,240212,88728,139719
748,290591,240232,88824,139910
749,290853,240392,88788,139868
750,291089,240286,88379,139830
751,290907,240327,88422,139784
752,290519,2089077,88611,139531
753,290173,240043,88809,139615
754,290191,240039,88763,139639
755,290253,239845,88602,139718
756,290001,239762,88790,139599
757,289985,239650,88855,139672
758,290275,239731,88402,139833
759,2089102,240012,88481,139756
760,291256,240201,88673,139820
761,291482,240083,88807,139685
762,291528,240136,88870,139567
763,291468,240427,88852,139757
764,291183,240147,88700,139784
765,291106,239916,88552,143328
766,290957,240001,88351,139413
767,290667,239942,88408,139388
768,290685,240038,88494,139552
769,290913,240060,88357,139735
770,291062,240031,88350,139868
771,291539,240050,88639,139699
772,292125,240036,88750,139588
773,292506,240122,88845,139757
774,292644,240255,88843,139823
775,292563,240199,88648,139661
776,292600,240121,88456,139746
777,292592,240062,88481,139951
778,292557,239993,88606,139804
779,292486,239889,88495,139844
780,292596,239901,88534,139694
781,523281,240166,88533,139697
782,293638,240254,88337,139769
783,293875,240181,88436,139953
784,294225,240263,88480,139833
785,294238,240186,88628,139816
786,294717,240266,88611,140021
787,294998,240265,88459,139812
788,294686,240304,88535,139701
789,294638,240164,88517,140030
790,294763,239999,88581,139522
791,294904,240027,88586,139568
792,294974,240062,88401,139622
793,295390,239947,88491,139533
794,295804,239979,88674,139511
795,296152,240070,88579,139622
796,296651,239899,88476,139791
797,297067,240632,88422,139929
798,297789,240195,88446,139836
799,298403,240284,88662,139668
800,298549,240340,88540,139727
801,298675,240001,88528,139676
802,298743,240051,88725,139696
803,311169,239995,88529,139934
804,299310,239839,88527,139825
805,299717,239865,88521,139688
806,300291,239865,88467,139716
807,300903,240056,88519,139808
808,301808,239967,88668,139771
809,302756,240096,88681,139688
810,303308,240042,88760,139689
811,303495,240266,88681,139820
812,303915,240045,88642,139664
813,304570,240069,88478,139679
814,305059,240021,88452,4178056
815,305477,239951,88611,139731
816,306026,239683,88753,139657
817,306747,239907,88494,139582
818,307752,240016,88290,139665
819,308641,239968,88483,139640
820,310037,245696,88555,139702
821,311362,240058,88603,139707
822,312596,240238,88597,139823
823,313830,240139,88727,139893
824,314873,239967,88548,139867
825,317432,239718,88393,139505
826,318324,239792,88500,139454
827,319487,239709,88422,139652
828,320669,239763,88615,139796
829,321725,239758,88304,140011
830,323434,239722,88055,140083
831,325222,239931,88250,140102
832,326910,240048,88325,139888
833,328835,240220,88246,139821
834,330704,240208,88538,139932
835,332508,240046,88564,139961
836,333887,240050,88521,139845
837,335276,239755,88356,139714
838,336662,239726,88484,261128
839,337866,239678,88258,139749
